Run,MAE,RMSE,R2,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
152,0.047239721748608576,0.07060017218573508,0.8911632202969944,20.0,1.0,2,8,500
278,0.047488167966569655,0.07060179925300161,0.8911582036859371,40.0,0.8,1,8,500
168,0.0476388093003737,0.07060300487648591,0.8911544864054287,30.0,0.6,1,4,700
88,0.04753108899265628,0.07060351580533122,0.891152911047159,20.0,0.6,1,8,300
251,0.04756720893531659,0.07060424921139462,0.8911506497000085,40.0,0.6,1,8,500
82,0.047724857686397074,0.07060467141942713,0.8911493478744681,20.0,0.6,1,2,300
8,0.047606585430725386,0.07060491084815664,0.8911486096225363,,0.6,1,8,500
89,0.0475570542684593,0.07060605829379968,0.8911450715664139,20.0,0.6,1,8,500
115,0.04742641035796605,0.07060614057003184,0.8911448178720767,20.0,0.8,1,8,300
151,0.04725757382426768,0.07060730736650983,0.891141220086061,20.0,1.0,2,8,300
166,0.04768668656135086,0.07060737870050257,0.8911410001276564,30.0,0.6,1,4,300
279,0.0474611078147067,0.07060749828262325,0.8911406313956253,40.0,0.8,1,8,700
110,0.047494212032446914,0.07061445118676082,0.8911191910092868,20.0,0.8,1,2,500
167,0.047640896753373706,0.07061536929142322,0.8911163597296677,30.0,0.6,1,4,500
3,0.04768263317551638,0.0706187342082876,0.8911059825800349,,0.6,1,2,700
228,0.04731496629481974,0.0706189445827545,0.8911053337846341,30.0,1.0,2,2,700
231,0.04731496629481974,0.0706189445827545,0.8911053337846341,30.0,1.0,2,4,700
35,0.04748953405275004,0.07062632187875278,0.8910825809623868,,0.8,1,8,500
233,0.047322469556913625,0.07063196190151932,0.891065184579998,30.0,1.0,2,8,500
33,0.04754622812774445,0.07063299658582983,0.8910619929945764,,0.8,1,4,700
36,0.04747285068488214,0.07063310102203739,0.8910616708482348,,0.8,1,8,700
72,0.047259573749424154,0.07063658601648984,0.8910509206805912,,1.0,2,8,700
315,0.04728031219711226,0.07063681750009858,0.8910502066039689,40.0,1.0,2,8,700
250,0.04764474660778371,0.07064170314265504,0.8910351349126312,40.0,0.6,1,8,300
197,0.04749940524393337,0.07064577074224491,0.8910225860022443,30.0,0.8,1,8,500
314,0.04730913152646944,0.07064679549724116,0.8910194244270148,40.0,1.0,2,8,500
32,0.04752818822885001,0.07065380301602787,0.8909978035933857,,0.8,1,4,500
234,0.04732091701738549,0.0706548494766468,0.8909945746843738,30.0,1.0,2,8,700
