Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,NDVI,NDVI_Valid,Sentinel2_Images,Cloud_Probability_Threshold,Scene_Cloud_Threshold,Rainfall_mm,Rainfall_Valid,CHIRPS_Days,rainfall_source,Temperature_C,Temperature_Valid,ERA5_Days,temperature_source,study_area,dataset
2021-01-01,2021-01-08,1.0,2021,P072,18.283393421583035,76.77331492120734,Latur,high,priority,0.6813088059425354,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.81315220424108,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P073,17.966315663874607,76.86453029235662,Latur,high,priority,0.2281021475791931,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.76580054873517,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P074,18.50832831512306,76.870318205524,Latur,high,priority,0.4542253613471985,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.96356608072915,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P075,18.41444640154381,77.20053247493588,Latur,high,priority,0.2355658262968063,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.932385835193543,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P076,18.377877313804504,76.25376722106614,Latur,high,priority,0.3491124212741852,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.61249186197921,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P077,18.059564385104267,76.5349046242838,Latur,high,priority,0.4990548193454742,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.674340820312523,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P078,18.1008824154655,76.96042326051098,Latur,high,priority,0.5195950269699097,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.77305501302084,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P079,18.73508698099394,76.77797468180819,Latur,high,priority,0.4801610112190246,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.89538109188988,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P080,18.46791548227568,76.3017694439065,Latur,high,priority,0.5876160860061646,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.73334147135421,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P081,18.10355787609756,76.67701617485712,Latur,high,priority,0.528444766998291,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.6624476841518,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P082,18.23907887531389,76.67830931416262,Latur,high,priority,0.1947188079357147,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.777763439360115,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P083,18.369289085175563,77.19996171000103,Latur,high,priority,0.2090242505073547,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.648020135788727,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P084,18.46362582706226,76.82249880582684,Latur,high,priority,0.2492465078830719,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.69090750558036,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P085,18.14788579966987,76.77194597718393,Latur,high,priority,0.671159029006958,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.73312058221728,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
