Week_Start,Week_End,Week_Number,Year,point_id,CHIRPS_mm,GSMaP_mm
2026-06-25,2026-07-02,26,2026,P085,43.17939853668213,37.96556754410267
2026-07-02,2026-07-09,27,2026,P085,0.0,12.324095211923122
2026-07-09,2026-07-16,28,2026,P085,0.0,2.7723682895302773
2026-07-16,2026-07-23,29,2026,P085,54.26481628417969,66.59579915553331
2026-07-23,2026-07-30,30,2026,P085,60.9256649017334,27.787586584687233
2026-07-30,2026-08-01,31,2026,P085,67.69518375396729,26.609292224049568
2026-06-18,2026-06-25,25,2026,P147,59.657569885253906,70.29638294875622
2026-06-25,2026-07-02,26,2026,P147,90.43922424316406,119.9273284599185
2026-07-02,2026-07-09,27,2026,P147,264.7581329345703,562.8626121729612
2026-07-09,2026-07-16,28,2026,P147,0.0,7.695948019623756
2026-07-16,2026-07-23,29,2026,P147,23.66853904724121,184.8227416947484
2026-07-23,2026-07-30,30,2026,P147,62.69062042236328,164.1068876683712
2026-07-30,2026-08-01,31,2026,P147,96.08634948730469,111.27553107589483
